"Dummy
 Index Numbers","Final Exam Attendance
Present(1)/
Absent(ab)","Mid Exam Marks
(Out of 34)","Mid Exam Marks
(Out of 20)","Final Exam Marks
(Out of 80)","Marks 1 
(Mid+Final)
(Out of 100)","Marks 2
(Final/80*100)
(Out of 100)","Max(Mark 1,Mark 2)
(Out of 100)","Grand Final Marks
After Rounding",,5/26/2023,6/16/2023,6/23/2023,7/7/2023,7/14/2023,8/4/2023,8/18/2023
A73,1,23,13.52941176,24,37.52941176,30,37.52941176,38,,1,1,1,1,1,0,1
A74,1,8,4.705882353,31,35.70588235,38.75,38.75,39,,1,0,0,1,1,0,0
A75,1,26,15.29411765,24,39.29411765,30,39.29411765,39,,1,0,0,1,1,1,0
A76,1,25,14.70588235,24,38.70588235,30,38.70588235,39,,1,1,1,1,1,0,0
A77,1,12,7.058823529,31,38.05882353,38.75,38.75,39,,1,1,0,1,0,0,0
A78,1,25,14.70588235,24,38.70588235,30,38.70588235,39,,1,1,1,0,0,0,0
A79,1,11,6.470588235,32,38.47058824,40,40,40,,1,0,1,1,0,0,0
A80,1,5,2.941176471,32,34.94117647,40,40,40,,0,0,0,1,0,0,0
A81,1,14,8.235294118,32,40.23529412,40,40.23529412,40,,1,1,1,1,0,0,0
A82,1,18,10.58823529,29,39.58823529,36.25,39.58823529,40,,1,1,1,0,0,0,0
A83,1,18,10.58823529,30,40.58823529,37.5,40.58823529,41,,1,1,0,1,1,1,0
A84,1,21,12.35294118,29,41.35294118,36.25,41.35294118,41,,0,0,0,0,0,0,0
A85,1,20,11.76470588,29,40.76470588,36.25,40.76470588,41,,1,0,0,0,0,0,0
A86,1,11,6.470588235,33,39.47058824,41.25,41.25,41,,1,0,0,0,1,0,1
A87,1,25,14.70588235,27,41.70588235,33.75,41.70588235,42,,1,1,1,1,1,0,0
A88,1,20,11.76470588,30,41.76470588,37.5,41.76470588,42,,1,1,1,1,1,0,0
A89,1,19,11.17647059,31,42.17647059,38.75,42.17647059,42,,1,0,1,1,1,0,0
A90,1,21,12.35294118,31,43.35294118,38.75,43.35294118,43,,1,0,0,1,1,0,0
A91,1,21,12.35294118,31,43.35294118,38.75,43.35294118,43,,1,1,0,1,0,0,0
